N,MC mean,MC SE,MC relErr,IS mean,IS SE,IS relErr,var reduction
1000,8.750000000000001e-05,0.00030011484852596746,3.001148485260013,9.964442634032518e-05,6.3181768134811e-06,0.06318176813481813,2256.2718005083157
10000,9.966666666666666e-05,0.0001026401752440827,1.0264017524409428,9.997707008800148e-05,2.0465281402761787e-06,0.020465281402764098,2515.3552392054808
100000,0.000102125,3.075809042483422e-05,0.3075809042483769,9.998832977398951e-05,5.435522746276646e-07,0.0054355227462772595,3202.1089447392555
