half_width_sigma,M,empirical_acc,theoretical_acc(1/M),proposals_drawn,time_s
3,2.992119272022765,0.32915308910174124,0.33421127605116124,121524,0.004881514000032894
4,3.391122423068797,0.29279576031739063,0.29488761396442,136614,0.0054464140000050065
5,3.7901256560547156,0.26380699879967817,0.2638434951101166,151626,0.005843569999967713
6,4.189128836049507,0.23768636096239207,0.23871311653022217,168289,0.006289363999997022
8,4.987135053604768,0.20070749391605408,0.20051592532614224,199295,0.007851921999986189
10,5.785141356436644,0.1733042182246716,0.17285662326770693,230808,0.009283390999996755
14,7.3811541694619205,0.13643355856239958,0.1354801670634796,293183,0.0105546509999499
20,9.775172288034847,0.10182236579175799,0.1022999872057534,392841,0.014304489999972247
