N,reps,mean_estimate,std (empirical SE),theoretical SE,relative error,zero-estimates,% zero
1000,300,8e-05,0.0002953372314280042,0.00031621195423321523,2.9533723142803665,278,92.66666666666666
10000,200,0.0001005,9.999874371070165e-05,9.999499987498826e-05,0.9999874371071263,71,35.5
100000,60,0.00010050000000000002,2.6834394827584836e-05,3.162119542332153e-05,0.2683439482758778,0,0.0
1000000,12,0.00010441666666666665,1.0157472245802223e-05,9.999499987498827e-06,0.1015747224580334,0,0.0
